taxon	min	max
t_5	0.95	1
t_7	0.95	1
t_11	0.8	0.85
t_14	0.7	0.75
t_15	0.7	0.75
t_16	0.55	0.6
t_20	0.65	0.7
t_30	0	0
t_41	0	0
t_42	0	0
t_43	0	0
t_45	0	0
t_46	0	0
t_49	0	0
t_50	0	0
t_51	0	0
