taxon	min	max
t_4	0.65	0.7
t_10	0.4	0.45
t_12	0.6	0.65
t_13	0.55	0.6
t_26	0.3	0.35
t_29	0	0
t_31	0	0
t_35	0	0
t_38	0	0
t_40	0	0.05
t_41	0	0
t_42	0	0
t_43	0	0
t_44	0	0
t_45	0	0
