taxon	min	max
t_5	0.7	0.75
t_19	0.6	0.65
t_22	0.55	0.6
t_31	0	0
t_34	0	0
t_45	0	0
t_49	0.15	0.2
t_51	0	0
t_53	0	0
t_55	0	0
t_56	0	0.05
t_57	0	0
t_58	0	0
t_59	0	0
