taxon	min	max
t_4	0.9	0.95
t_5	0.8	0.85
t_7	0.8	0.85
t_9	0.75	0.8
t_14	0.6	0.65
t_15	0.7	0.75
t_17	0.65	0.7
t_18	0.65	0.7
t_25	0.3	0.35
t_34	0.05	0.1
t_36	0	0
t_37	0.1	0.15
t_41	0	0
t_45	0	0
t_46	0	0
t_47	0	0
t_48	0	0
t_49	0	0
t_50	0	0
t_51	0	0
